// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\obj\Release\net8.0/" /p:OutDir="F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\bin\Release\net8.0/" /p:OutputPath="F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\bin\Release\net8.0/" in F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748
// command took 1.45 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\obj\Release\net8.0/" /p:OutDir="F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\bin\Release\net8.0/" /p:OutputPath="F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\bin\Release\net8.0/" --output "F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\bin\Release\net8.0/" in F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748
// command took 5.23 sec and exited with 0
// ***** Done, took 00:00:06 (6.76 sec)   *****
// Found 2 benchmarks:
//   LfuBenchMarks.ElementInsertIntoFull: Job-VHXZHM(InvocationCount=1, UnrollFactor=1)
//   LfuBenchMarks.Dictionary: Job-VHXZHM(InvocationCount=1, UnrollFactor=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: LfuBenchMarks.ElementInsertIntoFull: Job-VHXZHM(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 7cb28bf7-b029-408f-ae61-4549d12a0748.dll --anonymousPipes 2020 1868 --benchmarkName LfuCache.LfuBenchMarks.ElementInsertIntoFull --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.7 (8.0.724.31311), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-UIGPZI(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 163400.00 ns, 163.4000 us/op
WorkloadJitting  1: 1 op, 944400.00 ns, 944.4000 us/op

OverheadWarmup   1: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   2: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   5: 1 op, 100.00 ns, 100.0000 ns/op

OverheadActual   1: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   3: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   5: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   6: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   7: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   8: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   9: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  10: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  11: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  12: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  13: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  14: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  15: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  16: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  17: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  18: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  19: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  20: 1 op, 100.00 ns, 100.0000 ns/op

WorkloadWarmup   1: 1 op, 5500.00 ns, 5.5000 us/op
WorkloadWarmup   2: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadWarmup   3: 1 op, 1800.00 ns, 1.8000 us/op
WorkloadWarmup   4: 1 op, 1800.00 ns, 1.8000 us/op
WorkloadWarmup   5: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadWarmup   6: 1 op, 1900.00 ns, 1.9000 us/op
WorkloadWarmup   7: 1 op, 1800.00 ns, 1.8000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadActual   2: 1 op, 1800.00 ns, 1.8000 us/op
WorkloadActual   3: 1 op, 3200.00 ns, 3.2000 us/op
